stock,delta_percent,delta_price
WM,1.5891393592078968,-100.0
WAT,1.8736338074836287,-100.0
WEC,2.295038210564664,-100.0
WFC,2.167257643205793,-100.0
WELL,3.0070960944425975,-100.0
WST,3.969725055815357,-100.0
WDC,4.570354874639677,-100.0
WU,2.66393290447693,-100.0
WRK,2.8174498327384763,-100.0
WY,2.529210278118003,-100.0
WHR,2.540287546644253,-100.0
WMB,2.2007042918619595,-100.0
WLTW,1.4372679874141356,-100.0
WYNN,3.6269386677859234,-100.0
XEL,2.4571620477955785,-100.0
XRX,5.461314400734657,-100.0
XLNX,2.5927743719084586,-100.0
XYL,1.613607554317061,-100.0
YUM,1.8267989525319956,-100.0
ZBRA,2.496696616714683,-100.0
ZBH,2.5437671418179777,-100.0
ZION,3.5938902878015924,-100.0
ZTS,1.9246505514047725,-100.0
